Description,Rate,Amount,Month,Quantity
"AdSpring Impressions Fee (CPM): Nosey inventory split on Roku","0.61005","10847.74",Nov_2021,"17781.723"
"AdSpring Impressions Fee (CPM): NoseyEscandalos inventory split on Roku","0.61005","269.17",Nov_2021,"441.227"
"AdSpring Impressions Fee (CPM): NoseyEscandalos to Samsung-mx","0.61005","18.38",Nov_2021,"30.133"
"AdSpring Impressions Fee (CPM): NoseyEscandalos to Samsung-br","0.61005","5.12",Nov_2021,"8.385"
"AdSpring Impressions Fee (CPM): RealNosey inventory split on Roku","0.61005","7679.67",Nov_2021,"12588.592"
"Streaming (GB) Video Producer: Nosey on Samsung","0.0042","3339.24",Nov_2021,"795056.9429"
"Streaming (GB) Video Producer: Nosey on Roku","0.0042","5318.81",Nov_2021,"1266382.5204"
"Streaming (GB) Video Producer: Nosey on Plex","0.0042","619.72",Nov_2021,"147552.2975"
"Streaming (GB) Video Producer: NoseyEscandalos on Roku","0.0042","217.38",Nov_2021,"51756.1669"
"Streaming (GB) Video Producer: NoseyEscandalos on Samsung-mx","0.0042","418.00",Nov_2021,"99522.7831"
"Streaming (GB) Video Producer: NoseyEscandalos on Plex","0.0042","16.86",Nov_2021,"4015.1328"
"Streaming (GB) Video Producer: NoseyEscandalos on Samsung-br","0.0042","379.71",Nov_2021,"90407.3245"
"Streaming (GB) Video Producer: RealNosey on Roku","0.0042","3962.48",Nov_2021,"943446.9136"
"Streaming (GB) Video Producer: RealNosey on Plex","0.0042","160.20",Nov_2021,"38143.5619"
Date,11%2F30%2F2021,"Invoice %23",2021Nov_65,"Nosey Baxter LLC"
"675 Third Avenue 11th Floor","New York NY 10017",USA,"WURL Inc.","595A Lytton Avenue"
"Palo Alto CA 94301","P.O. No.",Terms,"Net 30","Thank you for your business!"
650-470-7550,Total,"ACH%2FWiring Instructions:","Account %23:  3303492084","Routing %23:  121140399"
"Swift Code:  SVBKUS6S","Bank Name:  Silicon Valley Bank","Account Name: WURL Inc.","*Updated Bank",Instructions*
Description,Rate,Amount,Month,Quantity
"Active Connector:  Nosey on Vizio HLS Connector.","800.00","800.00",Nov_2021,1
"Active Connector:  NoseyEscandalos on Samsung-mx HLS Connector.","800.00","800.00",Nov_2021,1
"Active Connector:  NoseyEscandalos on Roku HLS Connector.","800.00","0.00",Nov_2021,0
"Active Connector:  NoseyEscandalos on Plex HLS Connector.","800.00","800.00",Nov_2021,1
"Active Connector:  NoseyEscandalos on Samsung-br HLS Connector.","800.00","800.00",Nov_2021,1
"Active Connector:  RealNosey on Vizio HLS Connector.","800.00","800.00",Nov_2021,1
"Active Connector: Nosey on Xumo (VOD2) - XUMO (VOD2)","400.00","400.00",Nov_2021,1
"Active Connector:  Nosey on Samsung HLS Connector.","0.00","0.00",Nov_2021,0
"Active Connector:  Nosey on Roku HLS Connector.","0.00","0.00",Nov_2021,0
"Active Connector:  Nosey on Plex HLS Connector.","0.00","0.00",Nov_2021,0
"Active Connector:  RealNosey on Roku HLS Connector.","0.00","0.00",Nov_2021,0
"Active Connector:  RealNosey on Plex HLS Connector.","0.00","0.00",Nov_2021,0
"Package Fee (Level 2):  Monthly Fee HLS Connector.","3750.00","3750.00",Nov_2021,1
"Page 2","","","",""
